IDIndikator;Indikator;IDTer;nTer;God+Mes;nVrTacka;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
2403040103IND01;Average net earnings;70165;Lazarevac;202501;2025/january;115500;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202502;2025/february;104547;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202503;2025/march;106668;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202504;2025/april;112022;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202505;2025/may;110638;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202506;2025/june;105637;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202507;2025/july;111755;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202508;2025/august;107759;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202509;2025/september;109183;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202510;2025/october;112852;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70165;Lazarevac;202511;2025/november;108100;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202412;2024/december;88532;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202501;2025/january;91004;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202502;2025/february;87296;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202503;2025/march;89969;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202504;2025/april;92014;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202505;2025/may;91542;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202506;2025/june;89704;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202507;2025/july;91274;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202508;2025/august;89068;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202509;2025/september;92569;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202510;2025/october;94371;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70173;Mladenovac;202511;2025/november;96886;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202412;2024/december;180106;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202501;2025/january;169911;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202502;2025/february;165109;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202503;2025/march;179953;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202504;2025/april;177418;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202505;2025/may;168854;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202506;2025/june;172421;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202507;2025/july;173436;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202508;2025/august;167259;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202509;2025/september;172739;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202510;2025/october;171506;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70181;Novi Beograd;202511;2025/november;178188;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202412;2024/december;100251;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202501;2025/january;101828;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202502;2025/february;96189;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202503;2025/march;99686;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202504;2025/april;103383;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202505;2025/may;102084;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202506;2025/june;99304;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202507;2025/july;102290;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202508;2025/august;99561;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202509;2025/september;104048;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202510;2025/october;106032;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70190;Obrenovac;202511;2025/november;103117;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202412;2024/december;124848;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202501;2025/january;120845;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202502;2025/february;117879;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70203;Palilula (Beograd);202503;2025/march;123636;A;Normal value;F;Free (free for publication);RSD;RSD
