element,osmid,leisure,sport,covered,int_name,name,name:sr,name:sr-Latn,addr:floor,length,location,swimming_pool,access,start_date,source,description,lit,operator,content,type,candidate_source,index,area,name:en,website,amenity,bath:open_air,bath:sand_bath,fee,wikipedia,wikidata,bath:type,shower,alt_name,contact:instagram,opening_hours,phone,addr:place,addr:postcode,designation,addr:city,addr:housenumber,addr:street,check_date,wheelchair,operator:type,name:ru,alt_name:sr,alt_name:sr-Latn,email,level,addr:suburb,building,building:levels,ref:RS:kucni_broj,barrier,old_name,old_name:en,old_name:sr,old_name:sr-Latn,wikimedia_commons,year_of_construction,internet_access,roof:direction,roof:shape,layer,contact:facebook,contact:twitter,surface,old_addr:housenumber,old_addr:street,nohousenumber,fax,man_made,outdoor,tower:type,climbing:boulder,contact:phone,shooting,addr:housename,image,name:de,note,club,outdoor_seating,rental,mobile,fitness_station,entrance,addr:pak,addr:country,contact:website,personal_trainer,sauna,check_date:opening_hours,addr:level,contact:linkedin,contact:youtube,internet_access:fee,payment:cash,payment:credit_cards,payment:debit_cards,payment:cards,index_right,venue_type,venue_name,venue_dist_m,is_municipal,name_normalized,access_value,exclude_private_access,pool_type,geometry_orig_wkt,lon,lat
way,1365480409.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.461955 44.781182, 20.461955 44.781204, 20.46192 44.781233, 20.46188 44.781238, 20.461864 44.781225, 20.461864 44.781208, 20.461908 44.781169, 20.461936 44.78117, 20.461955 44.781182))",20.461918215816326,44.78119279999999
way,1365480410.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.461088 44.781763, 20.461125 44.781788, 20.461044 44.781851, 20.461007 44.781826, 20.461088 44.781763))",20.461066065357137,44.781806950000004
way,1365480411.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.461372 44.776806, 20.461464 44.776849, 20.461427 44.776889, 20.461334 44.776846, 20.461372 44.776806))",20.46139915183909,44.776847499999995
way,1365480412.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.460187 44.776728, 20.460278 44.776777, 20.460244 44.776809, 20.460152 44.776759, 20.460187 44.776728))",20.460215383405306,44.77676835
way,1365480413.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.459984 44.776993, 20.45986 44.777097, 20.459796 44.777059, 20.45992 44.776955, 20.459984 44.776993))",20.459890150000003,44.777026
way,1365480414.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.461488 44.775372, 20.461541 44.775395, 20.461484 44.77546, 20.461431 44.775436, 20.461488 44.775372))",20.461486115813955,44.775415699999996
way,1367355485.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.454151 44.788235, 20.454117 44.788202, 20.454229 44.788143, 20.454263 44.788176, 20.454151 44.788235))",20.454189979305625,44.78818904999999
way,1367355488.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.454522 44.788433, 20.454593 44.78837, 20.454761 44.788465, 20.454713 44.788507, 20.454601 44.788444, 20.454577 44.788464, 20.454522 44.788433))",20.45462267271646,44.78843834999999
way,1367355490.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.455846 44.785857, 20.455878 44.785829, 20.455824 44.785799, 20.455793 44.785826, 20.455846 44.785857))",20.455835447622945,44.78582774999999
way,1367355491.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.454123 44.786238, 20.454085 44.78619, 20.45422 44.786136, 20.454258 44.786184, 20.454123 44.786238))",20.454171657333855,44.786186900000004
